author_id,author_name
1,yaksh
2,XIT
3,Daniel Meyer
4,Seedify Fund
5,Ifedolapo Shiloh Olotu
6,Brian
7,Nick Babich
8,Xerxemi
9,Harry Alexander
10,E2Analyst
11,Crypto111
12,Professor Brent R. Stockwell
13,Muzli
14,Koh Rui Heng
15,Nabil Alouani
16,Lisa S. Gerard
17,Dan H Mcinerney
18,Linda Caroll
19,Tyger A.C
20,Chris
21,Matt Ryan Allen
22,Scott Priestley
23,PM^2 - Management & Innovation
24,Ian Scott
25,Frank Simpson
26,Marco van Hylckama Vlieg
27,Michael Macaulay
28,Alon Barak
29,Ignacio de Gregorio
30,Mykola-Bohdan Vynnytskyi
31,Anjana Samindra Perera
32,Josh C
33,Linda Locke
34,Talking With Machines.
35,Enda
36,Valerie
37,Safoora Maqbool
38,Rahiq Al-huslan
39,Likhith Gowda
40,Pelin Okutan
41,Daren Scot Wilson
42,Pierluigi De Stasio
43,Core DAO
44,Vela
45,Render Network | RNDR Team
46,LunarCrush
47,ESPL
48,SATOSHIS VISION
49,Mega Crypto Polis
50,Polylastic
51,Nelson Crypto passive income
52,Dot Names
53,Rohin Bhat
54,Madison Hunter
55,Cassie Kozyrkov
56,Pol Marin
57,Vanmoofer
58,Kevser Büşra YILDIRIM
59,Kaoutar Tarik (高達烈)
60,Alex Chin
61,Anirban Majumder
62,Luke Skyward
63,"Dr. Mandar Karhade, MD. PhD."
64,Muhammad Ahsan
65,Mohamed Sazni
66,Zajjaj Bin Sana
67,Kiselev Ivan
68,Mohammad Asim Ayub
69,Andrii Kozin
70,Ansh
71,Sarra Barnett
72,Dean Lofts
73,Stephanie Tabares
74,Amit Kumar
75,Abdu Musowir U
76,Adnan Ribic
77,Tetiana Volkova
78,Richard de Vries
79,Jarod Vyent
80,Tanmay Batham
81,Aman Raghuvanshi
82,CloudDeepDive
83,K Samman
84,Kompetify.ai
85,Presearch
86,Akashyadav
87,Pramod Ravikant
88,Abhishek Jain
89,tomerpacific
90,Adi Mizrahi
91,Juan Landy
92,Anand Verma
93,Konstantinos Nikoloutsos
94,dgeek
95,Mohsen Mirhoseini
96,Kompetify.ai
97,Guseyn Ismayylov
98,Mohammad-Ali A'RÂBI
99,Prashant K
100,Matan Hamilis
101,Soileum
102,Andrew Long
103,Ansible Pilot
104,Fimber
105,ɴᴀᴊᴇᴇʙ ᴡᴇᴇʀᴀʙᴀɴɢꜱᴀ
106,Supakon_k
107,Karthikeyan Nagaraj
108,Markel Adanez
109,Bhavin Kaloliya
110,Sujith Abdul Rahim
111,Kshitij Singh
112,Sena Yakut
113,Tony
114,Ashutosh Shashi
115,Innocent Mambo
116,Nidhi Gupta
